Program,City,State,Interest,Setting,Class size,Competitiveness,Step Score Range,Hours/Week,Longest Shift,Days Off/week,Sick Days,Vacation Days,Family Leave Paid/Unpaid,Salary,COL-Adjusted Salary,Salary Stretch,Free Parking,Housing Stipend,Meal Stipend,Tech Stipend,,Website
Emory/Children’s Healthcare of Atlanta,Atlanta,GA,Lower Interest,University,39,Reach,233-268,65,14,1.5,12,15,42/N,"$66,530.00","$66,464.00",80,Y,N,Y,Y,,https://med.emory.edu/departments/pediatrics/education/residency/index.html
University of Chicago Program,Chicago,IL,Considering,University,23,Reach,230-264,,,,5,20,30/40,"$75,205.00","$72,592.00",87,N,N,Y,N,"south side of Chicago not such a great area, less competitive than other schools in chi",https://pediatrics.uchicago.edu/education
Advocate Health Care/Advocate Children’s Hospital (Oak Lawn) Program,Oak Lawn,IL,Considering,CB/University Affiliated,15,,220-257,60,24,1.5,N,28,90/90,"$70,000.00","$67,568.00",81,Y,N,Y,Y,"Good busy program, culture :) Similar to CMC",https://www.advocatehealth.com/education/residency-opportunities/advocate-christ-medical-center/pediatrics/residency-program
Indiana University,Indianapolis,IN,Considering,University,34,Target/Reach,232-266,60,24,1,N,28,42/42,"$66,500.00","$69,488.00",83,Y,N,Y,Y,,https://medicine.iu.edu/pediatrics/education/residency
LSU Pediatrics/Children’s Hospital New Orleans,New Orleans,LA,Considering,University,16,,224-264,55,16,1.5,14,21,42/N,"$60,241.00","$65,055.00",78,Y,N,Y,N,,https://residents.lsuhsc.edu/no/peds/default.aspx
Tulane,New Orleans,LA,Considering,University,9,,219-257,65,28,1,14,28,42/N,"$57,707.00","$62,319.00",75,Y,N,Y,N,,https://medicine.tulane.edu/pediatrics/residency/tu-peds
Maine Medical Center,Portland,ME,Considering,CB/University Affiliated,8,,277-266,65,16,1.5,5,21,20 (60),"$71,438.00","$70,106.00",84,Y,N,Y,N,,
University of Michigan,Ann Arbor,MI,Considering,University,25,,231-268,55,16,1.3,—,28,98/180,"$77,049.00","$76,362.00",92,N,N,Y,N,,
Henry Ford St. John Hospital Program,Detroit,MI,Considering,CB/University Affiliated,8,Safer/Target,225-257,60,16,1.5,7,21,Nx2,"$66,691.00","$66,492.00",80,Y,N,Y,Y,,
Children's Hospital of Michigan Program,Detroit,MI,Considering,University,30,,226-260,,,,N,20,90/0,"$60,184.00","$60,004.00",72,Y,N,Y,Y,,
Children’s Mercy,Kansas City,MO,Considering,University,31,Target/Reach,132-265,50,13,1.5,12,20,120/ N,"$71,406.00","$77,196.00",93,Y,N,Y,N,,
ECU Health Medical Center/East Carolina University Program,Greenville,NC,Lower Interest,University,11,Safer,222-262,55,24,1.5,10,18,X2,"$66,840.00","$75,611.00",91,Y,N,Y,N,,
Carolinas Medical Center Program,Charlotte,NC,High Interest,CB/University Affiliated,16,Target,235-267,56,20,1.7,90,20,90/N,"$70,528.00","$72,485.00",87,Y,N,Y,Y,,
Montefiore Medical Center/Albert Einstein College of Medicine,Bronx,NY,Considering,University,30,Target/Reach,230-267,80,24,1.5,12,20,42/68,"$84,217.00","$74,793.00",90,N,Y,Y,Y,,
Jacobi Medical Center/Albert Einstein College of Medicine Program,Bronx,NY,Considering,CB/University Affiliated,15,,225-261,60,12,1.8,N,20,49/N,"$82,481.00","$73,251.00",88,N,N,Y,Y,,
Stony Brook Medicine/Stony Brook Children's Hospital Program,Stony Brook,NY,Considering,University,12,,227-263,50,13,1.5,15,15,42/N,"$77,008.00","$68,391.00",82,N,Y,Y,Y,,
Case Western/Cleveland Med/Rainbow Babies & Childrens Hospital Program,Cleveland,OH,Considering,University,30,Target/Reach,234-266,55,13,1.5,N,28,x2,"$67,792.00","$72,196.00",87,Y,N,Y,N,,
Oregon Health & Science University (OHSU Health) Program,Portland,OR,Considering,University,20,Target/Reach,230-265,65,16,1.3,21,28,Nx2,"$77,339.00","$73,377.00",88,N,Y,Y,N,,
UPMC Medical Education Program,Pittsburgh,PA,Considering,University,33,Reach,233-267,60,13,1,N,20,Nx2,"$70,962.00","$74,933.00",90,N,N,Y,Y,Reach,
Tower Health/St. Christopher's Hospital for Children Program,Philadelphia,PA,Considering,CB/University Affiliated,24,,227-265,55,24,1,5,20,30/N,"$67,358.00","$65,651.00",79,Y,N,Y,Y,,
Vanderbilt University Medical Center Program,Nashville,TN,Considering,University,33,High Reach,235-270,62,16,1,12,15,Nx2,"$72,450.00","$75,234.00",90,Y,N,Y,N,Reach reach,
University of Texas at Austin,Austin,TX,Considering,University,24,Target/Reach,230-266,60,12,1.2,10,15,25/N,"$67,503.00","$68,810.00",83,Y,N,Y,Y,,
University of Utah/Primary Children’s,Salt Lake City,UT,Considering,University,31,Target/Reach,234-266,47,14,2,5,28,,"$72,841.00","$72,191.00",87,Y,N,Y,N,,
Inova Children’s,Falls Church,VA,Considering,CB/University Affiliated,13,,231-266,60,24,1.7,42,28,70/N,"$76,379.00","$70,137.00",84,Y,N,Y,Y,DC metro area,
Virginia Commonwealth University Health System Program,Richmond,VA,Interested,University,17,,231-265,51,16,1.5,30,21,49/84,"$66,747.00","$68,179.00",82,N,N,Y,Y,,
Seattle Children’s,Seattle,WA,Considering,CB/University Affiliated,43,Reach,231-267,56,16,2,17,28,N x2,"$76,032.00","$68,436.00",82,Y,Y,Y,N,,
Medical College of Wisconsin/Children’s Wisconsin,Milwaukee,WI,Considering,University,26,Target/Reach,232-267,53,24,1.5,10,15,45/N,"$71,790.00","$74,087.00",89,Y,N,Y,N,,
